date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,31,price_up_speculation_up,,,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,31,price_up_speculation_up,,-0.05995142954163735,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.05995142954163735,-0.05995142954163735,0.9400485704583627,0.9400485704583627,1.0,1.0,-0.05995142954163735,-0.05995142954163735
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,31,price_up_speculation_up,,0.07649284928919564,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,0.07649284928919564,0.07649284928919564,1.011955564082958,1.011955564082958,1.011955564082958,1.011955564082958,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,31,price_up_speculation_up,,0.013243023662933062,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,0.013243023662933062,0.013243023662933062,1.0253569155639455,1.0253569155639455,1.0253569155639455,1.0253569155639455,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,31,price_up_speculation_up,,-0.00922558979269017,213845.4795684418,,,0,13168.0,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.00922558979269017,-0.00922558979269017,1.0158973932698545,1.0158973932698545,1.0253569155639455,1.0253569155639455,-0.00922558979269017,-0.00922558979269017
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,31,price_up_speculation_up,-0.737397759853614,0.013438772370829577,215111.00442360473,,,0,14507.0,,0,1.598095534571003,0.421525566296536,-0.737397759853614,0,1.0,1.0,1.0,position,1.0,0.013438772370829577,0.013438772370829577,1.0295498070901272,1.0295498070901272,1.0295498070901272,1.0295498070901272,0.0,0.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,31,price_up_speculation_up,-1.277136477875173,0.0010966917087824601,218992.41527990476,,,0,14983.6,,0,1.5062372529165953,0.3493242692530173,-1.277136477875173,0,1.0,1.0,1.0,position,1.0,0.0010966917087824601,0.0010966917087824601,1.0306789058273416,1.0306789058273416,1.0306789058273416,1.0306789058273416,0.0,0.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,31,price_up_speculation_up,-2.60137577919472,0.0033078503221499744,219940.287734052,,,0,15114.8,,0,1.4143789712621873,0.2771229722094983,-2.60137577919472,0,1.0,1.0,1.0,position,1.0,0.0033078503221499744,0.0033078503221499744,1.0340882373780158,1.0340882373780158,1.0340882373780158,1.0340882373780158,0.0,0.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,31,price_up_speculation_up,-2.1805947369727927,0.002166002039153403,220410.1478051825,,,0,15348.2,,0,1.2954744697683271,0.3766488435086603,-2.1805947369727927,0,1.0,1.0,1.0,position,1.0,0.002166002039153403,0.002166002039153403,1.0363280746088412,1.0363280746088412,1.0363280746088412,1.0363280746088412,0.0,0.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,31,price_up_speculation_up,-1.4367353161228456,0.006023215147393124,221552.45561110787,217698.96758977487,,0,15573.2,14370.6,1,1.176569968274467,0.421525566296536,-1.4367353161228456,0,1.0,1.0,1.0,position,1.0,0.006023215147393124,0.006023215147393124,1.042570101565494,1.042570101565494,1.042570101565494,1.042570101565494,0.0,0.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,31,price_up_speculation_up,-1.4300726449096248,-0.0024280769925070222,222001.66008127644,218556.33225244057,,0,15905.6,15206.3,1,1.156912983663578,0.6262621838853399,-1.4300726449096248,0,1.0,1.0,1.0,position,1.0,-0.0024280769925070222,-0.0024280769925070222,1.040038661088807,1.040038661088807,1.042570101565494,1.042570101565494,-0.0024280769925071333,-0.0024280769925071333
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,31,price_up_speculation_up,-0.4338439652625562,-0.03939997848716792,220647.57195429737,219819.99361710105,,0,16527.6,15755.6,1,0.9910269233031856,0.6262621838853399,-0.4338439652625562,0,1.0,1.0,1.0,position,1.0,-0.03939997848716792,-0.03939997848716792,0.9990611602160852,0.9990611602160852,1.042570101565494,1.042570101565494,-0.04173238929840506,-0.04173238929840506
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,31,price_up_speculation_up,-0.4129621512865118,-0.010722982985395091,218688.6726010781,219314.48016756505,,0,17481.8,16298.3,1,0.7165011241667261,0.4489466010015065,-0.4129621512865118,0,1.0,1.0,1.0,position,1.0,-0.010722982985395091,-0.010722982985395091,0.988348244393719,0.988348244393719,1.042570101565494,1.042570101565494,-0.05200787658341344,-0.05200787658341344
